logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:48:57,615Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "loaded module [repository-url]" }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:48:57,622Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "loaded module [search-business-rules]" }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:48:57,630Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "loaded module [searchable-snapshots]" }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:48:57,644Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "loaded module [spatial]" }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:48:57,648Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "loaded module [tasks]" }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:48:57,652Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "loaded module [transform]" }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:48:57,654Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "loaded module [transport-netty4]" }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:48:57,665Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "loaded module [vectors]" }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:48:57,667Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "loaded module [x-pack-analytics]" }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:48:57,672Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "loaded module [x-pack-async-search]" }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:48:57,678Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "loaded module [x-pack-autoscaling]" }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:48:57,681Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "loaded module [x-pack-ccr]" }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:48:57,684Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "loaded module [x-pack-core]" }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:48:57,688Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "loaded module [x-pack-deprecation]" }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:48:57,701Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "loaded module [x-pack-enrich]" }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:48:57,706Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "loaded module [x-pack-eql]" }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:48:57,712Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "loaded module [x-pack-graph]" }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:48:57,720Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "loaded module [x-pack-identity-provider]" }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:48:57,725Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "loaded module [x-pack-ilm]" }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:48:57,740Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "loaded module [x-pack-logstash]" }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:48:57,744Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "loaded module [x-pack-ml]" }
